         188107 function calls (185585 primitive calls) in 19.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.014    0.001 cookies.py:38(__init__)
       32    0.001    0.000    0.001    0.000 _collections_abc.py:633(__init__)
       96    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      142    0.001    0.000    0.003    0.000 enum.py:8(_is_descriptor)
      325    0.001    0.000    0.002    0.000 {built-in method from_bytes}
      521    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      624    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      357    0.001    0.000    0.001    0.000 sre_parse.py:105(__init__)
      220    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
    218/5    0.001    0.000    0.621    0.124 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      100    0.001    0.000    0.003    0.000 _policybase.py:277(_sanitize_header)
      182    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:170(__exit__)
    59/58    0.001    0.000    0.098    0.002 sre_parse.py:819(parse)
        4    0.001    0.000    0.690    0.172 client.py:257(_read_status)
        4    0.001    0.000    0.002    0.001 ssl.py:116(_import_symbols)
        4    0.001    0.000    0.081    0.020 client.py:194(parse_headers)
      174    0.001    0.000    0.111    0.001 <frozen importlib._bootstrap_external>:1141(find_spec)
       19    0.001    0.000    0.005    0.000 ipaddress.py:1459(__init__)
      124    0.001    0.000    0.002    0.000 sre_compile.py:386(_simple)
        1    0.001    0.001    0.002    0.002 status_codes.py:3(<module>)
       16    0.001    0.000   12.737    0.796 models.py:741(content)
      530    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      262    0.001    0.000    0.001    0.000 sre_parse.py:75(groups)
        4    0.001    0.000    0.079    0.020 parser.py:42(parse)
       19    0.001    0.000    0.006    0.000 abc.py:132(__new__)
      448    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        8    0.001    0.000    0.001    0.000 cgi.py:301(_parseparam)
      152    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        9    0.001    0.000    0.671    0.075 __init__.py:1(<module>)
        4    0.001    0.000    0.002    0.001 utils.py:347(get_encoding_from_headers)
      152    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:390(_check_name_wrapper)
        1    0.001    0.001    0.002    0.002 hmac.py:4(<module>)
      409    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       48    0.001    0.000    0.003    0.000 queue.py:147(get)
       32    0.001    0.000    0.002    0.000 ipaddress.py:1630(_ip_int_from_string)
      100    0.001    0.000    0.003    0.000 abc.py:178(__instancecheck__)
      174    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
      122    0.001    0.000    0.001    0.000 sre_parse.py:362(_escape)
      182    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      594    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        4    0.001    0.000    0.004    0.001 ssl.py:263(match_hostname)
      365    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       66    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      204    0.001    0.000    0.001    0.000 sre_compile.py:101(fixup)
       44    0.001    0.000    0.002    0.000 queue.py:115(put)
       72    0.001    0.000    0.002    0.000 sre_parse.py:78(opengroup)
       35    0.001    0.000    0.001    0.000 sre_compile.py:376(<listcomp>)
      360    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      103    0.001    0.000    0.001    0.000 ipaddress.py:1882(__init__)
      152    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
       19    0.001    0.000    0.002    0.000 abc.py:135(<setcomp>)
       80    0.001    0.000    0.001    0.000 ipaddress.py:1125(_parse_octet)
      123    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       58    0.001    0.000    0.049    0.001 sre_compile.py:516(_code)
        9    0.001    0.000    0.001    0.000 datetime.py:338(__new__)
      176    0.001    0.000    0.001    0.000 enum.py:16(_is_dunder)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
        6    0.001    0.000    0.013    0.002 enum.py:314(_create_)
     21/8    0.001    0.000    0.002    0.000 abc.py:194(__subclasscheck__)
       89    0.001    0.000    0.001    0.000 threading.py:332(notify)
      208    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:314(__enter__)
       20    0.001    0.000    0.001    0.000 client.py:1062(putheader)
       72    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
       25    0.001    0.000    0.001    0.000 _collections_abc.py:601(__contains__)
      177    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
       72    0.001    0.000    0.001    0.000 ipaddress.py:1251(__init__)
       59    0.001    0.000    0.001    0.000 sre_parse.py:217(__init__)
        8    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.001    0.000    1.562    0.390 adapters.py:375(send)
       35    0.001    0.000    0.002    0.000 sre_compile.py:374(_mk_bitmap)
      182    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(__init__)
       32    0.001    0.000    0.002    0.000 _collections_abc.py:613(items)
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:310(__init__)
      165    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      171    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
       72    0.001    0.000    0.001    0.000 _collections.py:208(add)
        4    0.001    0.000    0.001    0.000 {built-in method today}
       73    0.001    0.000    0.001    0.000 signal.py:10(<lambda>)
        1    0.001    0.001    0.008    0.008 datetime.py:5(<module>)
        4    0.001    0.000    0.001    0.000 feedparser.py:140(__init__)
      257    0.001    0.000    0.001    0.000 hmac.py:10(<genexpr>)
      174    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      193    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       68    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      251    0.001    0.000    0.001    0.000 {built-in method _sre.getlower}
      257    0.001    0.000    0.001    0.000 hmac.py:11(<genexpr>)
       83    0.001    0.000    0.001    0.000 six.py:141(__init__)
      116    0.001    0.000    0.001    0.000 sre_compile.py:513(isstring)
      168    0.001    0.000    0.001    0.000 enum.py:24(_is_sunder)
       21    0.001    0.000    0.001    0.000 {built-in method time.time}
       16    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      152    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:794(__init__)
        4    0.001    0.000    0.001    0.000 cgi.py:313(parse_header)
        4    0.001    0.000    0.003    0.001 ssl.py:889(sendall)
      104    0.000    0.000    0.001    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
        4    0.000    0.000    0.003    0.001 client.py:869(send)
      100    0.000    0.000    0.004    0.000 _policybase.py:307(header_fetch_parse)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       10    0.000    0.000    0.001    0.000 enum.py:361(_get_mixins_)
       28    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       85    0.000    0.000    0.001    0.000 __init__.py:424(<genexpr>)
        4    0.000    0.000    0.007    0.002 client.py:1105(request)
        4    0.000    0.000    0.001    0.000 sessions.py:88(resolve_redirects)
        4    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        4    0.000    0.000    0.002    0.000 sessions.py:617(<listcomp>)
        4    0.000    0.000    0.000    0.000 models.py:655(iter_content)
       12    0.000    0.000    0.001    0.000 functools.py:43(update_wrapper)
       12    0.000    0.000    0.000    0.000 cookiejar.py:46(_debug)
        4    0.000    0.000    0.001    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     30/7    0.000    0.000    0.591    0.084 {built-in method builtins.__import__}
       85    0.000    0.000    0.001    0.000 __init__.py:422(<genexpr>)
        4    0.000    0.000    0.001    0.000 response.py:61(_get_decoder)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       57    0.000    0.000    0.001    0.000 __init__.py:19(__new__)
       28    0.000    0.000    0.002    0.000 utils.py:179(to_key_val_list)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        4    0.000    0.000    0.194    0.049 ssl.py:675(__init__)
      188    0.000    0.000    0.000    0.000 ipaddress.py:550(__int__)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       93    0.000    0.000    0.001    0.000 threading.py:240(__exit__)
        4    0.000    0.000    0.721    0.180 connection.py:252(connect)
        1    0.000    0.000    0.000    0.000 uuid.py:58(UUID)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1186(__init__)
       93    0.000    0.000    0.001    0.000 threading.py:237(__enter__)
       94    0.000    0.000    0.001    0.000 ssl.py:132(<lambda>)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1268(_fill_cache)
       72    0.000    0.000    0.001    0.000 structures.py:53(__getitem__)
       28    0.000    0.000    0.004    0.000 sessions.py:41(merge_setting)
       47    0.000    0.000    0.001    0.000 ipaddress.py:158(_split_optional_netmask)
       89    0.000    0.000    0.001    0.000 threading.py:252(_is_owned)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1055(_path_hooks)
        1    0.000    0.000    0.031    0.031 socket.py:47(<module>)
        1    0.000    0.000    0.010    0.010 tokenize.py:21(<module>)
       71    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       58    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       92    0.000    0.000    0.001    0.000 queue.py:239(_qsize)
       72    0.000    0.000    0.004    0.000 sre_parse.py:90(closegroup)
        4    0.000    0.000    0.006    0.002 client.py:1133(_send_request)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
       59    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
       16    0.000    0.000    0.001    0.000 sre_parse.py:260(getuntil)
       24    0.000    0.000    0.002    0.000 ipaddress.py:1099(_ip_int_from_string)
       67    0.000    0.000    0.154    0.002 re.py:222(compile)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:819(get_filename)
       38    0.000    0.000    0.014    0.000 enum.py:215(__call__)
      136    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.039    0.039 ssl.py:89(<module>)
        4    0.000    0.000    0.002    0.000 _collections.py:231(extend)
      155    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       12    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.001    0.001 __init__.py:262(_reset_cache)
      136    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:664(create_module)
        1    0.000    0.000    0.002    0.002 stringprep.py:6(<module>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1192(<genexpr>)
